"EPK_ferti_crop_name","ORGANIC","n","Norg_thrhld_min","Norg_thrhld_max"
"Betterave_sucriere",0,374,19.6341930890947,221.344275486461
"Ble_dur",0,576,0.320103595180332,126.880276318379
"Ble_tendre",0,1034,6.08004652561395,116.607584809029
"Ble_tendre",1,57,18.7770229943858,289.256304387735
"Canne_a_sucre",0,326,0,710.755460604845
"Colza",0,958,33.4768655416623,117.872326551719
"Feverole",0,563,1.39677643359554,139.619509519762
"Feverole",1,72,0,11.6218191395791
"Lin_oleagineux",0,289,3.40530515396394,245.798437244304
"Lin_oleagineux",1,22,6.02605529060215,64.6443320971932
"Lin_fibre",0,127,0,10.4646995501197
"Mais_fourrage",0,1079,118.758512307745,175.66229023716
"Mais_fourrage",1,39,23.8529398569417,194.552020850008
"Mais_grain",0,1774,50.8611154408113,317.59845894177
"Melange_avec_proteagineux",0,316,19.0127971830804,120.018696299196
"Melange_avec_proteagineux",1,179,17.3656245756102,156.845863113218
"Melange_de_cereales",0,288,32.1724407391241,139.82385179037
"Melange_de_cereales",1,60,0,123.062422405673
"Melange_fourrager",0,563,33.4281991522875,128.570506157706
"Melange_fourrager",1,118,24.2289457902999,129.217512330584
"Orge",0,1055,8.96635901106932,130.189318156895
"Orge",1,43,3.52218961394163,95.9759340178158
"Pois_proteagineux",0,719,2.16107534024332,106.92588902211
"Pomme_de_terre",0,717,26.6749068450903,185.523239595556
"Pomme_de_terre",1,37,57.950420703066,160.181852677136
"Prairie_permanente",0,970,14.1218382471509,94.4399955646909
"Prairie_permanente",1,102,0,163.404954605648
"Prairie_temporaire",0,651,43.9138177056558,124.806789853351
"Prairie_temporaire",1,95,2.11100788275593,111.437151073622
"Soja",1,19,0,37.0673061658362
"Tournesol",0,586,4.71632347084974,169.901819770159
"Triticale",1,135,21.2238634303907,141.960148769206
